sample,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30
S1,G20,G15,G55,G12,G30,G11,G24,G66,G12,G55,G66,G5,G86,G54,G47,G1,G2,G3,G4,G5,G6,0,G91,G92,G93,G98,G3,G67,G12,G1
S2,G20,G15,G55,G12,G30,G11,G24,G66,G12,G55,G66,G2,G87,G54,G47,G1,G2,G3,G4,G5,G6,G90,0,G92,G93,G98,G3,G67,G12,G1
S3,G20,G15,G55,G12,G30,G11,G24,G66,G12,G55,G66,G2,G86,G54,G47,G1,G2,G3,G4,G5,G6,G90,G91,0,G93,G98,G3,G67,G12,G1
S4,G20,G31,G55,G30,G30,G11,G55,G66,G55,G55,G66,G5,G87,G54,G47,G1,G2,G3,G4,G5,G6,G90,G91,G92,0,G98,G3,G67,G12,G1
S5,G20,G31,G55,G30,G30,G11,G55,G66,G55,G55,G66,G5,G98,G54,G47,G1,G2,G3,G4,G5,G6,G90,G91,G92,G93,G98,G3,G67,G12,G1
S6,G20,G15,G55,G12,G30,G11,G24,G22,G12,G55,G66,G5,G86,G54,G47,G1,G2,G3,G4,G5,G6,G90,G91,G92,G93,G98,G3,G67,G12,G1
S7,G20,G15,G55,G12,G30,G11,G24,G22,G12,G55,G66,G2,G87,G54,G47,G1,G2,G3,G4,G5,G6,G90,G91,G92,G93,G98,G3,G67,G12,G1
S8,G20,G15,G55,G12,G30,G11,G24,G22,G12,G55,G66,G2,G86,G54,G47,G1,G2,G3,G4,G5,G6,G90,G91,G92,G93,G98,G3,G67,G12,G1
S9,G20,G31,G55,G30,G30,G11,G55,G22,G55,G55,G66,G5,G87,G54,G47,G1,G2,G3,G4,G5,G6,G90,G91,G92,G93,G98,G3,G67,G12,G1
S10,G20,G31,G55,G30,G30,G11,G55,G22,G55,G55,G66,G5,G98,G54,G47,G1,G2,G3,G4,G5,G6,G90,G91,G92,G93,G98,G3,G67,G12,G1
S11,G20,G15,G55,G12,G30,G11,G24,G66,G12,G55,G66,G2,G87,G54,G47,G1,G2,G3,G4,G5,G6,G90,G91,G92,G93,G98,G3,G67,G12,G1
S12,G20,G31,G55,G30,G30,G11,G55,G66,G55,G55,G66,G5,G87,G54,G47,G1,G2,G3,G4,G5,G6,G90,G91,G92,G93,G98,G3,G67,G12,G1
S13,G20,G15,G55,G12,G30,G11,G24,G22,G12,G55,G66,G5,G86,G54,G47,G1,G2,G3,G4,G5,G6,G90,G91,G92,G93,G98,G3,G67,G12,G1
S14,G20,G15,G55,G12,G30,G11,G24,G22,G12,G55,G66,G2,G86,G54,G47,G1,G2,G3,G4,G5,G6,G90,G91,G92,G93,G98,G3,G67,G12,G1
S15,G20,G31,G55,G30,G30,G11,G55,G22,G55,G55,G66,G5,G98,G54,G47,G1,G2,G3,G4,G5,G6,G90,G91,G92,G93,G98,G3,G67,G12,G1
S16,G20,G15,G55,G12,G30,G11,G24,G66,G12,G55,G66,G5,G86,G54,G47,G1,G2,G2,G5,G6,G7,G90,G91,G92,G93,G98,G3,G67,G12,G1
S17,G20,G15,G55,G12,G30,G11,G24,G66,G12,G55,G66,G2,G86,G54,G47,G2,G1,G2,G5,G6,G7,G90,G91,G92,G93,G98,G3,G67,G12,G1
S18,G20,G31,G55,G30,G30,G11,G55,G66,G55,G55,G66,G5,G98,G54,G47,G2,G1,G2,G5,G6,G7,G90,G91,G92,G93,G98,G3,G67,G12,G1
S19,G20,G15,G55,G12,G30,G11,G24,G22,G12,G55,G66,G2,G87,G54,G47,G2,G1,G2,G5,G6,G7,G90,G91,G92,G93,G98,G3,G67,G12,G1
S20,G20,G31,G55,G30,G30,G11,G55,G22,G55,G55,G66,G5,G87,G54,G47,G2,G1,G2,G5,G6,G7,G90,G91,G92,G93,G98,G3,G67,G12,G1
